unit_id,localized_name,tech_id,group,stats,description
combat_unit_type_infantry_13,Autonomous Mechanized Infantry,tech_military_ground_forces_13,combat_unit_group_infantry,max_manpower=1000; supply_capacity=260; small_arms=6.5; ammunition=13; advanced_weaponry=5; tanks=6.5; oil=6.5; communication_services=6.5; offense=130; defense=140; morale_loss_add=0; morale_recovery_mult=0.15; naval_invasion_efficiency_mult=-0.25,"Autonomous carriers, unmanned fighting vehicles, and robotic breaching systems accompany infantry as permanent members of the unit rather than attached equipment. Human troops concentrate on judgment and control while machines absorb the most repetitive, exposed, and physically punishing work."
combat_unit_type_infantry_14,Drone-Integrated Infantry,tech_military_ground_forces_14,combat_unit_group_infantry,max_manpower=1000; supply_capacity=280; small_arms=7; ammunition=14; advanced_weaponry=5.5; tanks=7; oil=7; communication_services=7; offense=140; defense=150; morale_loss_add=0; morale_recovery_mult=0.20; naval_invasion_efficiency_mult=-0.25,"Drone-integrated infantry fights beneath a permanent cloud of small autonomous machines. Scouts map rooms before entry, loitering munitions wait behind cover, electronic-warfare drones search for emitters, and resupply craft keep ammunition moving without exposing a logistics column."
combat_unit_type_infantry_15,Directed-Energy Infantry,tech_military_ground_forces_15,combat_unit_group_infantry,max_manpower=1000; supply_capacity=300; small_arms=7.5; ammunition=15; advanced_weaponry=6; tanks=7.5; oil=7.5; communication_services=7.5; offense=150; defense=160; morale_loss_add=0; morale_recovery_mult=0.25; naval_invasion_efficiency_mult=-0.25,"Portable directed-energy weapons give infantry an answer to the dense drone and sensor environment surrounding modern battlefields. Lasers destroy fragile airborne targets with negligible flight time while microwave projectors disrupt electronics, optics, and unshielded machines without consuming conventional ammunition."
combat_unit_type_infantry_16,Adaptive Armor Infantry,tech_military_ground_forces_16,combat_unit_group_infantry,max_manpower=1000; supply_capacity=320; small_arms=8; ammunition=16; advanced_weaponry=6.5; tanks=8; oil=8; communication_services=8; offense=160; defense=170; morale_loss_add=0; morale_recovery_mult=0.30; naval_invasion_efficiency_mult=-0.25,"Adaptive armor changes its protective behavior as threats arrive. Smart laminates stiffen before impact, active surfaces distort thermal and radar signatures, and distributed countermeasures intercept incoming projectiles, giving dismounted troops a survivability envelope once reserved for armored vehicles."
combat_unit_type_infantry_17,Cognitive Battlefield Infantry,tech_military_ground_forces_17,combat_unit_group_infantry,max_manpower=1000; supply_capacity=340; small_arms=8.5; ammunition=17; advanced_weaponry=7; tanks=8.5; oil=8.5; communication_services=8.5; offense=170; defense=180; morale_loss_add=0; morale_recovery_mult=0.35; naval_invasion_efficiency_mult=-0.25,"Neural interfaces and cognitive assistants place targeting cues, navigation, translation, logistics, and threat prediction directly into the soldier’s decision loop. Units coordinate almost without radio traffic, but the line between trained instinct and machine suggestion becomes increasingly difficult to see."
combat_unit_type_infantry_18,Self-Sustaining Expeditionary Infantry,tech_military_ground_forces_18,combat_unit_group_infantry,max_manpower=1000; supply_capacity=360; small_arms=9; ammunition=18; advanced_weaponry=7.5; tanks=9; oil=9; communication_services=9; offense=180; defense=190; morale_loss_add=0; morale_recovery_mult=0.40; naval_invasion_efficiency_mult=-0.25,"Closed-loop life support, field fabrication, autonomous logistics, and compact power systems allow expeditionary infantry to operate far beyond conventional supply webs. Ammunition components, spare parts, food supplements, and medical materials can be manufactured or recycled close to the front."
combat_unit_type_infantry_19,Synthetic Combined-Arms Infantry,tech_military_ground_forces_19,combat_unit_group_infantry,max_manpower=1000; supply_capacity=380; small_arms=9.5; ammunition=19; advanced_weaponry=8; tanks=9.5; oil=9.5; communication_services=9.5; offense=190; defense=200; morale_loss_add=0; morale_recovery_mult=0.45; naval_invasion_efficiency_mult=-0.25,"Synthetic combined-arms infantry mixes biological soldiers, autonomous combatants, robotic carriers, and embedded fires into a single tactical organism. Roles are assigned dynamically according to terrain and casualties; the unit reorganizes itself while fighting rather than waiting for replacements or new orders."
combat_unit_type_infantry_20,Post-Human Combat Infantry,tech_military_ground_forces_20,combat_unit_group_infantry,max_manpower=1000; supply_capacity=400; small_arms=10; ammunition=20; advanced_weaponry=8.5; tanks=10; oil=10; communication_services=10; offense=200; defense=210; morale_loss_add=0; morale_recovery_mult=0.50; naval_invasion_efficiency_mult=-0.25,"Post-human combat infantry is built around bodies and minds deliberately adapted for war. Cybernetic musculature, engineered metabolism, neural co-processors, and integrated protection allow soldiers to survive environments and operational tempos that would overwhelm an unmodified human force."
combat_unit_type_artillery_11,Networked Precision Artillery,tech_military_support_11,combat_unit_group_artillery,max_manpower=1000; supply_capacity=110; artillery=5.5; advanced_weaponry=4; oil=11; offense=220; defense=110; morale_damage_mult=0.55; kill_rate_add=0.55; devastation_mult=1.10; naval_invasion_efficiency_mult=-0.25; formation_mobilization_speed_mult=-0.1; formation_movement_speed_mult=-0.1,"Networked precision artillery receives targeting data directly from drones, satellites, aircraft, infantry sensors, and counter-battery radars. Guns fire briefly, relocate automatically, and place guided rounds onto coordinates before an enemy can reconstruct where the salvo originated."
combat_unit_type_artillery_12,Electromagnetic Artillery,tech_military_support_12,combat_unit_group_artillery,max_manpower=1000; supply_capacity=120; artillery=6; advanced_weaponry=4.5; oil=12; offense=240; defense=120; morale_damage_mult=0.60; kill_rate_add=0.60; devastation_mult=1.20; naval_invasion_efficiency_mult=-0.25; formation_mobilization_speed_mult=-0.1; formation_movement_speed_mult=-0.1,"Electromagnetic launchers replace chemical propellant with immense pulses of electrical energy. Hypervelocity projectiles reach distant targets with flatter trajectories and devastating kinetic force, while ammunition trains carry dense inert penetrators instead of mountains of explosive propellant."
combat_unit_type_artillery_13,Autonomous Precision Artillery,tech_military_support_13,combat_unit_group_artillery,max_manpower=1000; supply_capacity=130; artillery=6.5; advanced_weaponry=5; oil=13; offense=260; defense=130; morale_damage_mult=0.65; kill_rate_add=0.65; devastation_mult=1.30; naval_invasion_efficiency_mult=-0.25; formation_mobilization_speed_mult=-0.1; formation_movement_speed_mult=-0.1,"Autonomous precision batteries select firing positions, calculate solutions, load ammunition, and displace with minimal human intervention. Machine coordination lets dozens of scattered launchers time rounds to arrive together, creating massed fire without massing the guns themselves."
combat_unit_type_artillery_14,Robotic Fires Platform,tech_military_support_14,combat_unit_group_artillery,max_manpower=1000; supply_capacity=140; artillery=7; advanced_weaponry=5.5; oil=14; offense=280; defense=140; morale_damage_mult=0.70; kill_rate_add=0.70; devastation_mult=1.40; naval_invasion_efficiency_mult=-0.25; formation_mobilization_speed_mult=-0.1; formation_movement_speed_mult=-0.1,"Robotic fires platforms are built to remain exposed where crews could not. Uncrewed launchers disperse through ruins, forests, and prepared hides, accepting high attrition while cheap replacement vehicles and automated depots keep the fire network alive."
combat_unit_type_artillery_15,Hypersonic Missile Artillery,tech_military_support_15,combat_unit_group_artillery,max_manpower=1000; supply_capacity=150; artillery=7.5; advanced_weaponry=6; oil=15; offense=300; defense=150; morale_damage_mult=0.75; kill_rate_add=0.75; devastation_mult=1.50; naval_invasion_efficiency_mult=-0.25; formation_mobilization_speed_mult=-0.1; formation_movement_speed_mult=-0.1,"Hypersonic missile artillery reaches deep operational targets before they can move, disperse, or shelter. Mobile launchers threaten command centers, airfields, fleet facilities, and logistics nodes across an entire theater without depending on vulnerable manned aircraft."
combat_unit_type_artillery_16,Swarm Munition Artillery,tech_military_support_16,combat_unit_group_artillery,max_manpower=1000; supply_capacity=160; artillery=8; advanced_weaponry=6.5; oil=16; offense=320; defense=160; morale_damage_mult=0.80; kill_rate_add=0.80; devastation_mult=1.60; naval_invasion_efficiency_mult=-0.25; formation_mobilization_speed_mult=-0.1; formation_movement_speed_mult=-0.1,"Swarm munitions arrive as coordinated clouds rather than individual shells. Each weapon shares target information in flight, reallocating itself among vehicles, sensors, defenses, and decoys until the swarm has exhausted the battlefield’s most valuable exposed targets."
combat_unit_type_artillery_17,Directed-Energy Artillery,tech_military_support_17,combat_unit_group_artillery,max_manpower=1000; supply_capacity=170; artillery=8.5; advanced_weaponry=7; oil=17; offense=340; defense=170; morale_damage_mult=0.85; kill_rate_add=0.85; devastation_mult=1.70; naval_invasion_efficiency_mult=-0.25; formation_mobilization_speed_mult=-0.1; formation_movement_speed_mult=-0.1,"Directed-energy artillery concentrates grid-scale power into mobile laser and microwave batteries. The weapons trade explosive blast for precision, endurance, and almost instantaneous engagement, cutting down drones and missiles while burning through exposed sensors and electronics."
combat_unit_type_artillery_18,Orbital-Linked Fire Support,tech_military_support_18,combat_unit_group_artillery,max_manpower=1000; supply_capacity=180; artillery=9; advanced_weaponry=7.5; oil=18; offense=360; defense=180; morale_damage_mult=0.90; kill_rate_add=0.90; devastation_mult=1.80; naval_invasion_efficiency_mult=-0.25; formation_mobilization_speed_mult=-0.1; formation_movement_speed_mult=-0.1,"Orbital-linked fire support fuses terrestrial batteries with sensors and weapons far above the battlefield. Targets hidden beyond the horizon can be tracked continuously, and ground launchers can coordinate strikes with orbital platforms to attack from multiple geometries at once."
combat_unit_type_artillery_19,Cognitive Artillery Platform,tech_military_support_19,combat_unit_group_artillery,max_manpower=1000; supply_capacity=190; artillery=9.5; advanced_weaponry=8; oil=19; offense=380; defense=190; morale_damage_mult=0.95; kill_rate_add=0.95; devastation_mult=1.90; naval_invasion_efficiency_mult=-0.25; formation_mobilization_speed_mult=-0.1; formation_movement_speed_mult=-0.1,"Cognitive artillery systems forecast movement, deception, resupply, and counter-battery reactions before selecting a target. Instead of merely answering coordinates, the fire network reasons about the battle and spends ammunition where it expects the enemy to become vulnerable."
combat_unit_type_artillery_20,Planetary Precision Artillery,tech_military_support_20,combat_unit_group_artillery,max_manpower=1000; supply_capacity=200; artillery=10; advanced_weaponry=8.5; oil=20; offense=400; defense=200; morale_damage_mult=1.00; kill_rate_add=1.00; devastation_mult=2.00; naval_invasion_efficiency_mult=-0.25; formation_mobilization_speed_mult=-0.1; formation_movement_speed_mult=-0.1,"Planetary precision artillery turns distance into a logistical question rather than a tactical limitation. Global sensor coverage, extreme-range launch systems, and machine fire control allow surface forces to place destructive effects across continents with the responsiveness once associated with local artillery."
